#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           56                0
   8 ADD                        14957                0
   9 ADDPD                         12                0
  11 ADDSD                       4978                0
  12 ADDSS                        539                0
  15 ADD_LOCK                       5                0
  23 AND                         5487                0
  25 ANDNPD                        14                0
  26 ANDNPS                         6                0
  27 ANDPD                        180                0
  28 ANDPS                        162                0
  29 AND_LOCK                       8                0
  55 BSF                          171                0
  56 BSR                           55                0
  57 BSWAP                        169                0
  58 BT                            19                0
  64 BTS_LOCK                       2                0
  67 CALL_NEAR                  14136                0
  69 CDQ                           25                0
  70 CDQE                         405                0
  73 CLD                            6                0
  99 CMP                        22672                0
 104 CMPSD_XMM                     12                0
 108 CMPXCHG                      285                0
 113 CMPXCHG_LOCK                 442                0
 114 COMISD                         3                0
 116 CPUID                         56                0
 117 CQO                           40                0
 123 CVTPD2PS                      21                0
 127 CVTPS2PD                      28                0
 129 CVTSD2SI                       1                0
 130 CVTSD2SS                      14                0
 131 CVTSI2SD                      83                0
 132 CVTSI2SS                      71                0
 133 CVTSS2SD                      10                0
 134 CVTSS2SI                       1                0
 139 CVTTSD2SI                     50                0
 140 CVTTSS2SI                     24                0
 145 DEC                          453                0
 146 DEC_LOCK                     428                0
 147 DIV                          209                0
 150 DIVSD                        228                0
 151 DIVSS                        228                0
 162 F2XM1                          5                0
 163 FABS                          96                0
 164 FADD                         150                0
 165 FADDP                        397                0
 168 FCHS                         125                0
 178 FCOMI                          1                0
 179 FCOMIP                         8                0
 180 FCOMP                          7                0
 181 FCOMPP                         1                0
 185 FDIV                          37                0
 186 FDIVP                         38                0
 187 FDIVR                         27                0
 188 FDIVRP                        39                0
 192 FFREEP                         4                0
 198 FILD                          34                0
 202 FISTP                         23                0
 206 FLD                         2171                0
 207 FLD1                          86                0
 208 FLDCW                         46                0
 209 FLDENV                         9                0
 210 FLDL2E                         3                0
 211 FLDL2T                         1                0
 212 FLDLG2                         3                0
 213 FLDLN2                        12                0
 214 FLDPI                         11                0
 215 FLDZ                         160                0
 216 FMUL                         541                0
 217 FMULP                        190                0
 218 FNCLEX                         2                0
 222 FNSTCW                        35                0
 223 FNSTENV                       10                0
 224 FNSTSW                        92                0
 225 FPATAN                         3                0
 226 FPREM                          5                0
 227 FPREM1                         1                0
 229 FRNDINT                       13                0
 231 FSCALE                         9                0
 235 FSQRT                         26                0
 237 FSTP                        1784                0
 239 FSUB                         137                0
 240 FSUBP                        148                0
 241 FSUBR                         31                0
 242 FSUBRP                        54                0
 245 FUCOMI                       138                0
 246 FUCOMIP                      108                0
 248 FUCOMPP                        1                0
 249 FWAIT                         19                0
 250 FXAM                          78                0
 251 FXCH                         654                0
 256 FXTRACT                        3                0
 257 FYL2X                          4                0
 258 FYL2XP1                        8                0
 265 HLT                           15                0
 268 IDIV                          44                0
 269 IMUL                         483                0
 271 INC                          204                0
 274 INC_LOCK                      11                0
 293 JB                          1067                0
 294 JBE                         3703                0
 297 JL                           306                0
 298 JLE                         1795                0
 299 JMP                        20674                0
 301 JNB                         1915                0
 302 JNBE                        3277                0
 303 JNL                          236                0
 304 JNLE                        1481                0
 306 JNP                          241                0
 307 JNS                          228                0
 308 JNZ                        14929                0
 310 JP                           505                0
 311 JRCXZ                          2                0
 312 JS                           831                0
 313 JZ                         18506                0
 367 LDDQU                        858                0
 368 LDMXCSR                       39                0
 370 LEA                        23014                0
 371 LEAVE                         68                0
 373 LFENCE                        18                0
 388 LSL                            4                0
 398 MAXSD                          8                0
 399 MAXSS                          1                0
 400 MFENCE                         6                0
 403 MINSD                          5                0
 404 MINSS                          1                0
 406 MOV                       112853                0
 407 MOVAPD                      4300                0
 408 MOVAPS                      6797                0
 410 MOVD                         258                0
 413 MOVDQA                      4477                0
 414 MOVDQU                      2691                0
 416 MOVHPD                        22                0
 417 MOVHPS                        11                0
 419 MOVLPD                        98                0
 423 MOVNTDQ                      131                0
 425 MOVNTI                        80                0
 431 MOVQ                         252                0
 435 MOVSD_XMM                   4721                0
 439 MOVSS                       1530                0
 441 MOVSX                        712                0
 442 MOVSXD                      3696                0
 445 MOVZX                       4606                0
 449 MUL                           70                0
 450 MULPD                         20                0
 452 MULSD                       3604                0
 453 MULSS                        845                0
 456 NEG                          697                0
 458 NOP                        13570                0
 467 NOT                          229                0
 469 OR                          2266                0
 470 ORPD                          65                0
 471 ORPS                          46                0
 472 OR_LOCK                       13                0
 485 PADDD                         32                0
 486 PADDQ                         12                0
 492 PALIGNR                     2262                0
 493 PAND                        1280                0
 495 PAUSE                         11                0
 502 PCMPEQB                     2152                0
 503 PCMPEQD                      155                0
 506 PCMPESTRI                      1                0
 508 PCMPGTB                     1221                0
 509 PCMPGTD                        1                0
 511 PCMPGTW                        2                0
 512 PCMPISTRI                    241                0
 549 PINSRB                         3                0
 558 PMAXUB                        15                0
 564 PMINUB                       367                0
 567 PMOVMSKB                    1829                0
 587 PMULUDQ                        3                0
 588 POP                         9879                0
 591 POPCNT                         1                0
 595 POR                          779                0
 596 PREFETCHNTA                  126                0
 597 PREFETCHT0                    40                0
 600 PREFETCHW                      4                0
 605 PSHUFB                        28                0
 606 PSHUFD                        30                0
 614 PSLLDQ                       300                0
 615 PSLLQ                          5                0
 620 PSRLDQ                       453                0
 621 PSRLQ                          2                0
 623 PSUBB                        509                0
 632 PTEST                        227                0
 634 PUNPCKHBW                      1                0
 635 PUNPCKHDQ                      1                0
 637 PUNPCKHWD                      2                0
 638 PUNPCKLBW                     35                0
 639 PUNPCKLDQ                      9                0
 640 PUNPCKLQDQ                    60                0
 641 PUNPCKLWD                      4                0
 642 PUSH                        6718                0
 648 PXOR                         823                0
 663 RDTSC                         27                0
 664 RDTSCP                         7                0
 700 RET_NEAR                    6776                0
 701 ROL                           85                0
 702 ROR                          278                0
 706 ROUNDSD                        4                0
 707 ROUNDSS                        4                0
 714 SAR                          878                0
 717 SBB                          283                0
 723 SETB                          78                0
 724 SETBE                         21                0
 725 SETL                           7                0
 726 SETLE                         15                0
 727 SETNB                         40                0
 728 SETNBE                        71                0
 729 SETNL                         12                0
 730 SETNLE                        58                0
 732 SETNP                         21                0
 734 SETNZ                        308                0
 736 SETP                          13                0
 737 SETS                          11                0
 739 SETZ                         451                0
 740 SFENCE                        18                0
 749 SHL                         2099                0
 750 SHLD                          11                0
 752 SHR                         1956                0
 753 SHRD                          15                0
 756 SHUFPS                         8                0
 764 SQRTSD                        30                0
 765 SQRTSS                        25                0
 771 STMXCSR                       36                0
 777 SUB                        11158                0
 780 SUBSD                       2571                0
 781 SUBSS                        426                0
 782 SUB_LOCK                      22                0
 784 SYSCALL                      632                0
 791 TEST                       17953                0
 792 TZCNT                          5                0
 794 UCOMISD                     1289                0
 795 UCOMISS                      216                0
 798 UD2                          438                0
 801 UNPCKLPD                      22                0
 802 UNPCKLPS                      24                0
 809 VADDSD                      5724                0
 821 VANDNPD                       30                0
 823 VANDPD                        62                0
 847 VCMPSD                        34                0
 872 VCVTSI2SD                     18                0
 885 VCVTTSD2SI                    33                0
 898 VDIVSD                       102                0
 908 VEXTRACTF128                  11                0
 929 VFMADD213SD                    1                0
 930 VFMADD213SS                    1                0
 937 VFMADDSD                     920                0
 938 VFMADDSS                       1                0
 969 VFMSUBSD                     198                0
 985 VFNMADDSD                    193                0
1038 VINSERTF128                   13                0
1050 VLDMXCSR                      18                0
1056 VMAXSD                         4                0
1063 VMINSD                         4                0
1068 VMOVAPD                     3300                0
1071 VMOVDDUP                       2                0
1072 VMOVDQA                      272                0
1075 VMOVDQU                       24                0
1078 VMOVDQU64                     36                0
1092 VMOVQ                          2                0
1093 VMOVSD                      3598                0
1097 VMOVUPD                       12                0
1108 VMULSD                      2704                0
1113 VORPD                         44                0
1133 VPALIGNR                      60                0
1134 VPAND                        200                0
1136 VPANDN                       200                0
1159 VPCMPEQB                      40                0
1161 VPCMPEQQ                      20                0
1165 VPCMPGTB                     400                0
1169 VPCMPISTRI                    96                0
1301 VPMOVMSKB                     54                0
1345 VPOR                         200                0
1395 VPSLLDQ                       30                0
1408 VPSRLDQ                       30                0
1414 VPSUBB                        34                0
1441 VPXOR                          4                0
1504 VSQRTSD                        2                0
