#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           56                0
   8 ADD                        15051                0
   9 ADDPD                         12                0
  11 ADDSD                       5085                0
  12 ADDSS                        531                0
  15 ADD_LOCK                       5                0
  23 AND                         5474                0
  25 ANDNPD                        16                0
  26 ANDNPS                         6                0
  27 ANDPD                        193                0
  28 ANDPS                        162                0
  29 AND_LOCK                       8                0
  55 BSF                          171                0
  56 BSR                           55                0
  57 BSWAP                        169                0
  58 BT                            19                0
  64 BTS_LOCK                       2                0
  67 CALL_NEAR                  14382                0
  69 CDQ                           25                0
  70 CDQE                         407                0
  73 CLD                            6                0
  99 CMP                        22796                0
 104 CMPSD_XMM                     15                0
 108 CMPXCHG                      285                0
 113 CMPXCHG_LOCK                 442                0
 114 COMISD                         3                0
 116 CPUID                         56                0
 117 CQO                           21                0
 123 CVTPD2PS                      21                0
 127 CVTPS2PD                      28                0
 129 CVTSD2SI                       1                0
 130 CVTSD2SS                      14                0
 131 CVTSI2SD                     139                0
 132 CVTSI2SS                      55                0
 133 CVTSS2SD                       6                0
 134 CVTSS2SI                       1                0
 139 CVTTSD2SI                     58                0
 140 CVTTSS2SI                     24                0
 145 DEC                          453                0
 146 DEC_LOCK                     428                0
 147 DIV                          209                0
 150 DIVSD                        243                0
 151 DIVSS                        224                0
 162 F2XM1                          5                0
 163 FABS                          96                0
 164 FADD                         150                0
 165 FADDP                        397                0
 168 FCHS                         125                0
 178 FCOMI                          1                0
 179 FCOMIP                         8                0
 180 FCOMP                          7                0
 181 FCOMPP                         1                0
 185 FDIV                          37                0
 186 FDIVP                         38                0
 187 FDIVR                         27                0
 188 FDIVRP                        39                0
 192 FFREEP                         4                0
 198 FILD                          34                0
 202 FISTP                         23                0
 206 FLD                         2171                0
 207 FLD1                          86                0
 208 FLDCW                         46                0
 209 FLDENV                         9                0
 210 FLDL2E                         3                0
 211 FLDL2T                         1                0
 212 FLDLG2                         3                0
 213 FLDLN2                        12                0
 214 FLDPI                         11                0
 215 FLDZ                         160                0
 216 FMUL                         541                0
 217 FMULP                        190                0
 218 FNCLEX                         2                0
 222 FNSTCW                        35                0
 223 FNSTENV                       10                0
 224 FNSTSW                        92                0
 225 FPATAN                         3                0
 226 FPREM                          5                0
 227 FPREM1                         1                0
 229 FRNDINT                       13                0
 231 FSCALE                         9                0
 235 FSQRT                         26                0
 237 FSTP                        1784                0
 239 FSUB                         137                0
 240 FSUBP                        148                0
 241 FSUBR                         31                0
 242 FSUBRP                        54                0
 245 FUCOMI                       138                0
 246 FUCOMIP                      108                0
 248 FUCOMPP                        1                0
 249 FWAIT                         19                0
 250 FXAM                          78                0
 251 FXCH                         654                0
 256 FXTRACT                        3                0
 257 FYL2X                          4                0
 258 FYL2XP1                        8                0
 265 HLT                           15                0
 268 IDIV                          43                0
 269 IMUL                         490                0
 271 INC                          204                0
 274 INC_LOCK                      11                0
 293 JB                          1059                0
 294 JBE                         3718                0
 297 JL                           305                0
 298 JLE                         1852                0
 299 JMP                        20797                0
 301 JNB                         1905                0
 302 JNBE                        3280                0
 303 JNL                          238                0
 304 JNLE                        1501                0
 306 JNP                          241                0
 307 JNS                          246                0
 308 JNZ                        15006                0
 310 JP                           508                0
 311 JRCXZ                          2                0
 312 JS                           844                0
 313 JZ                         18623                0
 367 LDDQU                        858                0
 368 LDMXCSR                       39                0
 370 LEA                        23209                0
 371 LEAVE                         68                0
 373 LFENCE                        18                0
 388 LSL                            4                0
 398 MAXSD                          7                0
 399 MAXSS                          1                0
 400 MFENCE                         6                0
 403 MINSD                          5                0
 404 MINSS                          1                0
 406 MOV                       113681                0
 407 MOVAPD                      4497                0
 408 MOVAPS                      6805                0
 410 MOVD                         258                0
 413 MOVDQA                      4477                0
 414 MOVDQU                      2691                0
