#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           56                0
   8 ADD                        15078                0
   9 ADDPD                         12                0
  11 ADDSD                       4942                0
  12 ADDSS                        685                0
  15 ADD_LOCK                       5                0
  23 AND                         5460                0
  25 ANDNPD                        14                0
  26 ANDNPS                         6                0
  27 ANDPD                        180                0
  28 ANDPS                        170                0
  29 AND_LOCK                       8                0
  55 BSF                          171                0
  56 BSR                           55                0
  57 BSWAP                        169                0
  58 BT                            19                0
  64 BTS_LOCK                       2                0
  67 CALL_NEAR                  14543                0
  69 CDQ                           25                0
  70 CDQE                         404                0
  73 CLD                            6                0
  99 CMP                        22790                0
 104 CMPSD_XMM                     12                0
 106 CMPSS                          7                0
 108 CMPXCHG                      285                0
 113 CMPXCHG_LOCK                 442                0
 114 COMISD                         3                0
 116 CPUID                         56                0
 117 CQO                           21                0
 123 CVTPD2PS                      21                0
 127 CVTPS2PD                      28                0
 129 CVTSD2SI                       1                0
 130 CVTSD2SS                      52                0
 131 CVTSI2SD                      79                0
 132 CVTSI2SS                      73                0
 133 CVTSS2SD                     216                0
 134 CVTSS2SI                       1                0
 139 CVTTSD2SI                     53                0
 140 CVTTSS2SI                     24                0
 145 DEC                          453                0
 146 DEC_LOCK                     428                0
 147 DIV                          209                0
 150 DIVSD                        226                0
 151 DIVSS                        275                0
 162 F2XM1                          5                0
 163 FABS                          96                0
 164 FADD                         150                0
 165 FADDP                        397                0
 168 FCHS                         125                0
 178 FCOMI                          1                0
 179 FCOMIP                         8                0
 180 FCOMP                          7                0
 181 FCOMPP                         1                0
 185 FDIV                          37                0
 186 FDIVP                         38                0
 187 FDIVR                         27                0
 188 FDIVRP                        39                0
 192 FFREEP                         4                0
 198 FILD                          34                0
 202 FISTP                         23                0
 206 FLD                         2171                0
 207 FLD1                          86                0
 208 FLDCW                         46                0
 209 FLDENV                         9                0
 210 FLDL2E                         3                0
 211 FLDL2T                         1                0
 212 FLDLG2                         3                0
 213 FLDLN2                        12                0
 214 FLDPI                         11                0
 215 FLDZ                         160                0
 216 FMUL                         541                0
 217 FMULP                        190                0
 218 FNCLEX                         2                0
 222 FNSTCW                        35                0
 223 FNSTENV                       10                0
 224 FNSTSW                        92                0
 225 FPATAN                         3                0
 226 FPREM                          5                0
 227 FPREM1                         1                0
 229 FRNDINT                       13                0
 231 FSCALE                         9                0
 235 FSQRT                         26                0
 237 FSTP                        1784                0
 239 FSUB                         137                0
 240 FSUBP                        148                0
 241 FSUBR                         31                0
 242 FSUBRP                        54                0
 245 FUCOMI                       138                0
 246 FUCOMIP                      108                0
 248 FUCOMPP                        1                0
 249 FWAIT                         19                0
 250 FXAM                          78                0
 251 FXCH                         654                0
 256 FXTRACT                        3                0
 257 FYL2X                          4                0
 258 FYL2XP1                        8                0
 265 HLT                           15                0
 268 IDIV                          43                0
 269 IMUL                         483                0
 271 INC                          204                0
 274 INC_LOCK                      11                0
 293 JB                          1075                0
 294 JBE                         3700                0
 297 JL                           314                0
 298 JLE                         1807                0
 299 JMP                        20851                0
 301 JNB                         1911                0
 302 JNBE                        3288                0
 303 JNL                          238                0
 304 JNLE                        1496                0
 306 JNP                          241                0
 307 JNS                          230                0
 308 JNZ                        15025                0
 310 JP                           514                0
 311 JRCXZ                          2                0
 312 JS                           823                0
 313 JZ                         18626                0
 367 LDDQU                        858                0
 368 LDMXCSR                       39                0
 370 LEA                        23116                0
 371 LEAVE                         68                0
 373 LFENCE                        18                0
 388 LSL                            4                0
 398 MAXSD                          5                0
 399 MAXSS                          7                0
 400 MFENCE                         6                0
 403 MINSD                          5                0
 404 MINSS                          4                0
 406 MOV                       115444                0
 407 MOVAPD                      4272                0
 408 MOVAPS                      6987                0
 410 MOVD                         258                0
 413 MOVDQA                      4477                0
 414 MOVDQU                      2691                0
 416 MOVHPD                        22                0
 417 MOVHPS                        11                0
 419 MOVLPD                        98                0
 423 MOVNTDQ                      131                0
 425 MOVNTI                        80                0
 431 MOVQ                         253                0
 435 MOVSD_XMM                   4246                0
 439 MOVSS                       2418                0
 441 MOVSX                        711                0
 442 MOVSXD                      3698                0
 445 MOVZX                       4597                0
 449 MUL                           70                0
 450 MULPD                         20                0
 452 MULSD                       3516                0
 453 MULSS                       1199                0
 456 NEG                          700                0
 458 NOP                        13723                0
 467 NOT                          227                0
 469 OR                          2265                0
 470 ORPD                          65                0
 471 ORPS                          46                0
 472 OR_LOCK                       13                0
 485 PADDD                         32                0
 486 PADDQ                         12                0
 492 PALIGNR                     2262                0
 493 PAND                        1280                0
 495 PAUSE                         11                0
 502 PCMPEQB                     2152                0
 503 PCMPEQD                      155                0
 506 PCMPESTRI                      1                0
 508 PCMPGTB                     1221                0
 509 PCMPGTD                        1                0
 511 PCMPGTW                        2                0
 512 PCMPISTRI                    241                0
 549 PINSRB                         3                0
 558 PMAXUB                        15                0
 564 PMINUB                       367                0
 567 PMOVMSKB                    1829                0
 587 PMULUDQ                        3                0
 588 POP                        10221                0
 591 POPCNT                         1                0
 595 POR                          779                0
 596 PREFETCHNTA                  126                0
 597 PREFETCHT0                    40                0
 600 PREFETCHW                      4                0
 605 PSHUFB                        28                0
 606 PSHUFD                        30                0
 614 PSLLDQ                       300                0
